City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Hualmay,PE,2021-03-22 21:40:44,-11.0964,-77.6139,74.23,77,75,10.85
175,Tuy Hoa,VN,2021-03-22 21:43:26,13.0833,109.3,74.44,89,78,14.63
176,Acari,PE,2021-03-22 21:43:26,-15.4311,-74.6158,76.75,68,58,8.19
177,Tutoia,BR,2021-03-22 21:43:26,-2.7619,-42.2744,78.15,79,60,6.62
178,Kasempa,ZM,2021-03-22 21:43:27,-13.4584,25.8338,63.37,96,95,4.85
179,Poso,ID,2021-03-22 21:43:27,-1.3959,120.7524,76.1,87,96,4.5
180,Constitucion,CL,2021-03-22 21:40:39,-35.3333,-72.4167,64.92,64,15,13.13
181,Goderich,CA,2021-03-22 21:41:13,43.7501,-81.7165,62.6,34,99,13.8
182,Garowe,SO,2021-03-22 21:43:27,8.4054,48.4845,67.37,67,13,7.94
183,Kandrian,PG,2021-03-22 21:39:59,-6.2167,149.55,80.49,82,99,5.84
184,Mantua,IT,2021-03-22 21:43:28,45.1667,10.7833,44.01,51,9,1.99
185,Bambanglipuro,ID,2021-03-22 21:43:28,-7.95,110.2833,76.41,86,64,5.14
186,Iqaluit,CA,2021-03-22 21:42:03,63.7506,-68.5145,-16.01,63,1,26.46
187,Gouyave,GD,2021-03-22 21:43:29,12.1646,-61.7296,82.4,74,40,21.85
188,Torbay,CA,2021-03-22 21:39:50,47.6666,-52.7314,44.6,49,75,20.71
189,Saint George,US,2021-03-22 21:39:58,37.1041,-113.5841,62.01,21,1,6.91
190,Kungurtug,RU,2021-03-22 21:43:29,50.5994,97.5228,14.81,91,92,1.77
191,Impfondo,CG,2021-03-22 21:43:29,1.6381,18.0667,70.65,88,24,3.76
192,Praia,CV,2021-03-22 21:43:30,14.9215,-23.5087,68.0,73,20,13.8
193,Kodinsk,RU,2021-03-22 21:43:30,58.6881,99.1844,17.51,98,100,3.36
194,Boulsa,BF,2021-03-22 21:43:31,12.6675,-0.5758,89.51,12,42,7.11
195,Ahuimanu,US,2021-03-22 21:43:31,21.4447,-157.8378,78.8,64,75,12.66
196,Huarmey,PE,2021-03-22 21:41:11,-10.0681,-78.1522,75.45,76,23,11.72
197,Longhua,CN,2021-03-22 21:43:31,23.6137,114.1919,56.32,58,99,1.74
198,Vagamo,NO,2021-03-22 21:43:31,61.8751,9.0967,24.85,92,20,4.52
199,Katsuura,JP,2021-03-22 21:39:31,35.1333,140.3,48.0,56,20,5.75
200,Vestmanna,FO,2021-03-22 21:43:32,62.1564,-7.1664,44.6,81,20,9.22
201,Jijiga,ET,2021-03-22 21:43:32,9.35,42.8,60.71,20,2,7.94
202,Cayenne,GF,2021-03-22 21:41:28,4.9333,-52.3333,78.01,100,75,6.91
203,Haines Junction,CA,2021-03-22 21:40:43,60.7522,-137.5108,19.4,32,31,5.75
204,Serro,BR,2021-03-22 21:43:32,-18.6047,-43.3794,67.24,87,40,2.64
205,Pevek,RU,2021-03-22 21:39:45,69.7008,170.3133,-20.25,95,27,2.46
206,Tautira,PF,2021-03-22 21:43:32,-17.7333,-149.15,87.8,70,20,4.61
207,Duluth,US,2021-03-22 21:43:33,46.7833,-92.1066,54.0,61,1,5.75
208,Ovsyanka,RU,2021-03-22 21:43:33,55.9575,92.5519,30.2,80,75,4.47
209,Puerto Penasco,MX,2021-03-22 21:43:33,31.3167,-113.5333,70.0,44,0,10.0
210,Kyaikto,MM,2021-03-22 21:43:33,17.3,97.0167,77.09,71,6,3.87
211,Umm Kaddadah,SD,2021-03-22 21:43:34,13.6017,26.6876,84.07,26,68,2.8
212,Novo Aripuana,BR,2021-03-22 21:43:34,-5.1206,-60.3797,76.37,93,30,2.68
213,Lucapa,AO,2021-03-22 21:43:35,-8.4192,20.7447,66.74,87,100,1.68
214,Naze,JP,2021-03-22 21:43:35,28.3667,129.4833,59.0,55,75,13.8
215,Isangel,VU,2021-03-22 21:41:45,-19.55,169.2667,77.0,88,75,5.75
216,Parczew,PL,2021-03-22 21:43:36,51.6402,22.9006,33.8,80,0,4.61
217,Barra Do Corda,BR,2021-03-22 21:42:56,-5.5,-45.25,73.4,95,100,1.9
218,Comodoro Rivadavia,AR,2021-03-22 21:38:08,-45.8667,-67.5,73.4,38,0,10.36
219,Venancio Aires,BR,2021-03-22 21:43:36,-29.6064,-52.1919,75.0,85,100,4.0
220,Alice Springs,AU,2021-03-22 21:39:47,-23.7,133.8833,64.4,100,90,5.75
221,Half Moon Bay,US,2021-03-22 21:40:08,37.4636,-122.4286,62.01,76,1,20.71
222,Kabare,CD,2021-03-22 21:43:36,-2.4683,28.8242,59.81,93,89,0.6
223,Klichka,RU,2021-03-22 21:43:37,50.4457,117.996,22.19,89,32,4.85
224,Port Shepstone,ZA,2021-03-22 21:43:37,-30.7414,30.455,68.56,73,91,4.14
225,Weligama,LK,2021-03-22 21:43:37,5.9667,80.4167,75.65,89,99,6.4
226,Jalu,LY,2021-03-22 21:43:38,29.0331,21.5482,62.6,59,46,24.56
227,Dryden,CA,2021-03-22 21:43:38,49.7833,-92.7503,42.8,33,1,3.44
228,Flin Flon,CA,2021-03-22 21:43:38,54.7682,-101.865,35.6,38,90,4.61
229,Along,IN,2021-03-22 21:43:38,28.1667,94.7667,62.15,58,41,2.17
230,Balakhta,RU,2021-03-22 21:43:39,55.38,91.6,24.44,97,100,3.22
231,Orlik,RU,2021-03-22 21:43:39,52.5178,99.825,4.84,95,77,2.39
232,Norfolk,US,2021-03-22 21:43:40,42.1668,-71.2495,62.6,27,1,11.5
233,Campbell River,CA,2021-03-22 21:43:40,50.0163,-125.2446,46.99,71,75,5.75
234,Ostrovnoy,RU,2021-03-22 21:43:40,68.0531,39.5131,13.93,93,91,10.69
235,Oksfjord,NO,2021-03-22 21:41:39,70.2396,22.3479,33.8,69,75,11.5
236,Zhanjiang,CN,2021-03-22 21:43:41,21.2815,110.3427,64.36,54,100,7.96
237,Hithadhoo,MV,2021-03-22 21:40:10,-0.6,73.0833,83.03,73,9,9.78
238,Mitzic,GA,2021-03-22 21:43:41,0.7821,11.549,68.79,98,91,2.77
239,Besikduzu,TR,2021-03-22 21:43:42,41.052,39.2284,55.4,88,75,9.22
