City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
330,Nizhnevartovsk,RU,60.9344,76.5531,32.0,86,0,6.71,light snow
331,Brae,GB,60.3964,-1.353,42.8,65,90,13.8,overcast clouds
332,Coruripe,BR,-10.1256,-36.1756,81.41,74,70,11.45,broken clouds
333,Caravelas,BR,-17.7125,-39.2481,87.37,49,0,9.71,clear sky
334,Agadez,NE,19.75,10.25,79.18,11,0,15.28,clear sky
335,Mala,PE,-12.6581,-76.6308,74.23,74,23,7.61,few clouds
336,Tsuruoka,JP,38.7217,139.8217,46.44,78,100,9.6,overcast clouds
337,Spring Hill,US,28.4769,-82.5255,87.01,48,1,6.91,clear sky
338,Kovdor,RU,67.5662,30.4758,34.81,97,100,11.48,overcast clouds
339,Luwuk,ID,-0.9516,122.7875,77.67,88,100,4.99,overcast clouds
340,Pacific Grove,US,36.6177,-121.9166,55.99,75,0,4.41,clear sky
341,Calama,CL,-22.4667,-68.9333,73.4,15,0,9.22,clear sky
342,Coquimbo,CL,-29.9533,-71.3436,62.6,77,20,12.66,few clouds
343,Verkhneyarkeyevo,RU,55.4505,54.3145,32.88,89,100,14.74,overcast clouds
344,Starokamyshinsk,RU,55.0554,61.6031,37.4,70,40,6.71,scattered clouds
